molecule_chembl_id,canonical_smiles,standard_value,Bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,TPSA,standard_value_norm,pIC50_values
CHEMBL292323,COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,100000,inactive,622.772,7.9912,2,8,86.52,100000,4
CHEMBL304414,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,100000,inactive,562.72,7.974,2,6,68.06,100000,4
CHEMBL62176,CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,100000,inactive,282.368,3.1861,1,2,32.34,100000,4
CHEMBL62701,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccnc3n2C)c(C(=O)Nc2ccccc2)c2cccnc21,25000,inactive,564.696,6.764,2,8,93.84,25000,4.602059991
CHEMBL137617,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,70,active,357.215,4.5448,2,5,74.56,70,7.15490196
CHEMBL153577,CC(=O)N(C)/N=N/c1ccc2ncnc(Nc3cccc(C)c3)c2c1,578,active,334.383,4.15882,1,6,82.84,578,6.238072162
CHEMBL152448,CN(CO)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,110,active,387.241,4.0162,2,6,86,110,6.958607315
CHEMBL137189,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,200,active,292.346,4.09072,2,5,74.56,200,6.698970004
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,40,active,315.174,3.7181,2,4,63.83,40,7.397940009
CHEMBL152922,CC(=O)OCN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,130,active,429.278,4.587,1,7,92.07,130,6.886056648
CHEMBL7917,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,100,active,315.76,4.044,1,5,56.27,100,7
CHEMBL7827,O=c1c(-c2cccc(Cl)c2)coc2cc(O)cc(O)c12,16000,inactive,288.686,3.5246,2,4,70.67,16000,4.795880017
CHEMBL440453,COc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,11400,inactive,301.729,3.975,2,4,62.58,11400,4.943095149
CHEMBL7981,COc1cc(OC)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,46200,inactive,316.74,4.1306,0,4,48.67,46200,4.335358024
CHEMBL7339,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,45200,inactive,302.713,3.8276,1,4,59.67,45200,4.344861565
CHEMBL266995,Oc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,10200,inactive,287.702,3.672,3,4,73.58,10200,4.991399828
CHEMBL66031,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,46,active,340.184,4.0122,2,4,66.49,46,7.337242168
CHEMBL340520,COc1ccc(Cc2cn(Cc3ccc(OC)cc3)c(NC3=NC(=O)N(C)C3=O)n2)cc1,36900,inactive,433.468,2.9418,1,7,98.05,36900,4.432973634
CHEMBL339550,COc1ccc(Cc2cn(Cc3ccc(O)cc3)c(NC3=NC(=O)N(C)C3=O)n2)cc1,22700,inactive,419.441,2.6388,2,7,109.05,22700,4.643974143
CHEMBL339727,COc1ccc(Cc2nc(NC3=NC(=O)N(C)C3=O)n(C)c2Cc2ccc(O)cc2)cc1,11300,inactive,433.468,2.7183,2,7,109.05,11300,4.946921557
CHEMBL137829,O=C(NCCc1ccc(Cl)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O,46000,inactive,412.873,4.0414,5,5,101.82,46000,4.337242168
CHEMBL138698,O=C(NCCc1ccccc1)c1cccc(NCc2cc(O)ccc2O)c1,500000,inactive,362.429,3.6824,4,4,81.59,500000,3.301029996
CHEMBL137924,O=C(NCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O,10000,inactive,378.428,3.388,5,5,101.82,10000,5
CHEMBL440529,COc1ccc(CCNC(=O)c2cc(NCc3cc(O)ccc3O)ccc2O)cc1,100000,inactive,408.454,3.3966,5,6,111.05,100000,4
CHEMBL141271,O=C(NCCc1ccc(O)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O,300000,inactive,394.427,3.0936,6,6,122.05,300000,3.522878745
CHEMBL422643,O=C(NCCCc1ccccc1)c1ccc(NCc2cc(O)ccc2O)cc1,33000,inactive,376.456,4.0725,4,4,81.59,33000,4.48148606
CHEMBL138340,CCCCCCCCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,35000,inactive,442.6,6.0662,5,5,101.82,35000,4.455931956
CHEMBL122397,CCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,14000,inactive,358.438,3.7256,5,5,101.82,14000,4.853871964
CHEMBL344614,O=C(NCCc1ccccc1)c1ccc(NCc2cc(O)ccc2O)cc1,200000,inactive,362.429,3.6824,4,4,81.59,200000,3.698970004
CHEMBL137897,O=C(NCCc1ccccn1)c1cc(NCc2cc(O)ccc2O)ccc1O,15000,inactive,379.416,2.783,5,6,114.71,15000,4.823908741
CHEMBL341946,O=C(NCCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O,1000,active,392.455,3.7781,5,5,101.82,1000,6
CHEMBL137828,O=C(NCCc1ccc(Br)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O,35000,inactive,457.324,4.1505,5,5,101.82,35000,4.455931956
CHEMBL139833,O=C(NCCN1CCOCC1)c1cc(NCc2cc(O)ccc2O)ccc1O,50000,inactive,387.436,1.4775,5,7,114.29,50000,4.301029996
CHEMBL343071,O=C(NCc1ccccc1)c1ccc(NCc2cc(O)ccc2O)cc1,100000,inactive,348.402,3.6399,4,4,81.59,100000,4
CHEMBL178945,CN(C)CCCn1nc(C2=C(c3cn(-c4cccs4)c4ccccc34)C(=O)NC2=O)c2ccccc21,10000,inactive,495.608,4.5606,1,7,72.16,10000,5
CHEMBL368416,CN(C)CCCn1nc(C2=C(c3cn(-c4cccnc4)c4ccccc34)C(=O)NC2=O)c2ccccc21,10000,inactive,490.567,3.8941,1,7,85.05,10000,5
CHEMBL368895,CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,10000,inactive,539.639,5.6523,1,6,72.16,10000,5
CHEMBL360304,CN(C)CCCn1nc(C2=C(c3cn(-c4cccc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21,10000,inactive,539.639,5.6523,1,6,72.16,10000,5
CHEMBL359486,CN(C)CCCn1nc(C2=C(c3cn(-c4cnc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,10000,inactive,540.627,5.0473,1,7,85.05,10000,5
CHEMBL426587,CN(C)CCCn1nc(C2=C(c3cn(-c4csc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21,10000,inactive,545.668,5.7138,1,7,72.16,10000,5
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,10000,inactive,466.541,4.354,2,6,69.45,10000,5
CHEMBL103552,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O,0.0044,active,381.384,3.414,5,6,121.46,0.0044,11.35654732
CHEMBL485258,O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O,0.49,active,365.385,3.7084,4,5,101.23,0.49,9.30980392
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,0.2,active,179.175,0.8145,3,3,69.56,0.2,9.698970004
CHEMBL483830,O=C(O)c1cc(N(Cc2cc(O)ccc2O)Cc2cc(O)ccc2O)ccc1O,0.011,active,397.383,3.1196,6,7,141.69,0.011,10.95860731
CHEMBL483831,O=C(O)c1ccc(O)c(N(Cc2ccccc2O)Cc2cc(O)ccc2O)c1,0.17,active,381.384,3.414,5,6,121.46,0.17,9.769551079
CHEMBL520491,O=C(O)c1cc(/N=C\c2cc(O)ccc2O)ccc1O,0.76,active,273.244,2.2522,4,5,110.35,0.76,9.119186408
CHEMBL319620,O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,0.012,active,275.26,2.1137,5,5,110.02,0.012,10.92081875
CHEMBL243186,O=Cc1cc(O)ccc1O,33,active,138.122,0.9103,2,3,57.53,33,7.48148606
CHEMBL704,Nc1ccc(O)c(C(=O)O)c1,2.7,active,153.137,0.6726,3,3,83.55,2.7,8.568636236
CHEMBL242963,Nc1cc(C(=O)O)ccc1O,100,active,153.137,0.6726,3,3,83.55,100,7
CHEMBL4537790,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,190,active,542.688,3.77492,1,9,91.12,190,6.721246399
CHEMBL4525935,Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)cn1,5100,active,390.447,2.2769,2,6,101.09,5100,5.292429824
CHEMBL4550104,Cc1cc2cc(n1)-c1cnn(C)c1OCCCCCN1/C(=N/C2=O)Nc2ccccc21,2300,inactive,416.485,3.78152,1,7,84.64,2300,5.638272164
CHEMBL4562138,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccccc21,1100,active,430.512,4.02752,1,7,84.64,1100,5.958607315
